polisa,os_aneks_fakturaid,naplata_do_period,dolg,lc_bodovi,lc_iznos_bod,promotor_bodovi,lc_presmetki,promotor_presmetki,pricina
28/005834,5663123,2.03,2.03,0,0.0,0,0,0,NEMA_BODOVI
28/005910,5771874,33.33,33.33,0,0.0,0,0,0,NEMA_BODOVI
28/005910,5771886,1.67,1.67,0,0.0,0,0,0,NEMA_BODOVI
28/006114,6518046,50.0,50.0,4,533.72,0,3,0,IMA_PRESMETKA
28/006114,6518047,50.0,50.0,4,533.72,0,3,0,IMA_PRESMETKA
28/006114,6518058,12.56,12.56,4,533.72,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
28/006114,6518059,12.56,12.56,4,533.72,0,3,0,IMA_PRESMETKA
28/006114,6518070,3.33,3.33,4,533.72,0,3,0,IMA_PRESMETKA
28/006114,6518071,3.33,3.33,4,533.72,0,3,0,IMA_PRESMETKA
30/000545,6043614,18.33,18.33,3,79.2,0,2,0,IMA_PRESMETKA
30/000545,6043626,4.17,4.17,3,79.2,0,3,0,IMA_PRESMETKA
30/000545,6043638,1.35,1.35,3,79.2,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
30/000552,5346201,15.33,15.33,1,57.04,0,1,0,IMA_PRESMETKA
30/000552,5346213,0.92,0.92,1,57.04,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
